,아이디,댓글 내용,댓글 시간
439,  J P,ㅎㅎㅎㅎㅎ 오리지널 졸라도 양아치... ㅎㅎㅎ 조양은이도 민주화 인사로 추천하자 ㅎㅎㅎㅎㅎㅎㅎ,3년 전
440,  고뽀시래기,그렇담. 시간문제네.,2년 전
441,  H테리,Y T N  긴 한숨의 의미는 ?  아싑냐 ? 의형제  안나와 ?  조용기 목사  동생삼고 어깨으쓱  델고 다녔는데..,2년 전
442,  라임맛콜라,몇십억을 사기치고 3년??,9개월 전
443,  rationality,인생의 반이상을 빵생활... 참 한심하다..,4년 전
444,  전장수,고독영재가 직속동생이잖아,10개월 전
445,  김동규,18~~ 이런 걸 뉴스라고!!!,4년 전
446,  DS L,본성 어디가겠나,4년 전
447,  신나게,칼쓰기 시작한  양아치 건달아님,1년 전
448,  토종왕밤,정치.경찰.건설.아직도.지들이.못하는일.건달들이한다고.,1년 전
449,  gyudong,필리핀으로 보내라..~두테르트 한테..~,3년 전
450,  윤뱃님,양은이는결국  양아치 전락 ㅜㅜ,1년 전
451,  트리니티,그냥 양아치지..!!,9개월 전
452,  토종왕밤,서방파 양은이파 전주월드컵파 3대조폭,4년 전
453,  푸른들이랑,세월을 이긴 장사 없더라,1년 전
454,  yun kyong,복역하고 나와서 회개하며 사는데 이런 영상 왜 필요하죠. 죄짓고 감옥안가는 정치인 경제인 검찰 경찰 감사 군간부 등등 많아요.욕할사람 따로있어요.,3년 전
455,  조크,조양은 영화만들어 대중앞에서 싸인해주는거보고 세상참 말세다 생각한다. 지금역시 티비가 바보상자맞네,2년 전
456,  병희 이,양은이파서방파김태촌신상사파,9개월 전
457,  이타주의,조양은은 100살이 되어 나와도 바뀌지 않는다. 파고다 공원가서 박카스 할머니들 영업하면서 노인들 삥 뜯으며 살걸,11개월 전
458,  박신주,한명은 린치안한다 이정재가 시리소니 린치했다 야인시대는 이정재가 멋있게 나오지만 실제로는 쓰레기,4주 전(수정됨)
459,  qos04,최초로 사시미칼을 휘두른 비열한 넘. 사형시켰어야,1년 전
460,  봄이아빠,은근 댓글 의견들이 팽팽하네,2년 전
461,  The Hermit,일단 뭉쳐서 힘자랑하면 디 찌질이다,2년 전
462,  주권방송1,출소하면 태극기모독단 집회로 유입될까 혹시 과거 세탁도 할 겸,3년 전(수정됨)
463,  티모언니,최홍만하고 싸우면 짜부될거같은데,2년 전
464,  Miracle M,나겁많아~내문신 무섭지 ㅋㅋㅋㅋㅋ,2년 전
465,  정유금,양은냄비 사려~~~,2년 전
466,  신종만,그래도 경찰ㆍ검찰ㆍ정치꾼보다 낫다,3년 전
467,  오메가산님,닭정희때나 전대머리때 저것들많이이용했겠지  재벌기업들정치인들이 많이 애용 했을듯요,3년 전
468,  이명재,4형시키라,2년 전
469,  Lee,사실상 양은이파.서방파로양분됐지 OB파는아닌듯한데,2년 전
470,  스카이,화려한게 사람한테 해 끼치는건데 그게 화려?화려의 정의가 뭐임 YTN  방송국님들?사람한테 해끼치는게 화려인가?그냥 돈많고 이름 날리고 그러면 화려?,1년 전
471,  Bill Gimm,호남...출신 깡패.  왜 거긴 대체..,4년 전
472,  서동인,아직도 조폭이 멋있냐...?ㅋㅋㅋ.  못봤지. 조폭?,3년 전
473,  tec al,양아치들좀 깨끗히 치울수있는 정권은없는가?,3년 전
474,  새준 김,늙으면 뭔 힘이 있겠냐 ㅋㅋ 모든 사람은 늙는다,11개월 전
475,  김광근,항상말조심 조심하셔,2년 전
476,  오메가산님,먼 글고 초라한노년?수십억씩 가지고 있는데,3년 전
477,  충겸김,인간은 누구나  죽어,2년 전
478,  태자,칼질이 양아치면 총질은 갱스터겟네,1년 전
479,  이효열,쓰레기를 왜 두둔하는데,2년 전
480,  김김다수,조폭은사회에서쓸데없이버려진쓰레기같은존재들이고암덩어리지요~~,3년 전
481,  이순길,조양은 김태촌  이동재  대단했지 ㆍ원로주먹들도 건들지도 못했지,2년 전
482,  안창호,주먹이 아니라칼잡이 조,8개월 전
483,  폭풍,한번 도넘은 쓰레기는 안바뀐다.,3개월 전
484,  LSSPF R & D Center,안조폭도  늙으면  다 초라혀그라치만  남헌티  불괘감 그런거 겁주던  그런 새가튼 짓거리는  안했기에  괞차녀,2년 전(수정됨)
485,  양세한,100억에 3년6월  음 저돈  나주면5년 살아드림,1년 전
486,  병희 이,양은이파서방파김태촌월드컾파,9개월 전
487,  jang짱고,한번양아치는 죽을때까지양아치다 이런인간들을미화하는 이사회에 환경이 문제중의 문제다,2년 전
488,  ♡홀인원♡,죗값받은거라~~,2년 전
489,  J.W BMW GS & T-MAX,코맹맹 이 하는 저 사람 요즘 왜 안나오지 ㅋ,3년 전
490,  카파,아~미치겠네. 앵커가 패널말을 왜이렇게 끊냐. 계속 맥이 끊기는 느낌이네.,2년 전
491,  Elsol Robert,"한국은 쪽파"" 양파"" 담아내기파""논두렁깡페"" 우렁이패"" 물총패",3년 전
492,  적대봉,인생 참  허무허지않냐?  불쌍타,3년 전
493,  수영,의사한테 사기 ㅋㅋ 깨알같누,2년 전
494,  넌누구냐,뉴스패널 수준이 왜저럼 . 마에킨이 뭐냐고,3년 전
495,  고뽀시래기,못잡았음 말도마,2년 전
496,  조국문재,조양은아 열심히 일해서 먹고살러라 나도한때 이리배차장에서 보낸사람이다 열심히일해서 남한테 피해늘주지말라야 그게뭐냐인생이불쌍하다,3년 전
497,  김병국,양아치를 미화하고 그러는거 아닌데?  교활한 일개 양아치를 무서버서 ? 아부하는 세상!,3년 전
498,  손흥민,윤미향 댓글에 남기려던 글이 왜 여기에 남겨지냐,2년 전
499,  티모언니,김동현하고 싸우면 질거같은데,2년 전
500,  DARKDEADWALKER,"조폭 두목들 부하 몇십명, 몇백명 거니리고 왕 노릇하는데, 그리고 인생에 잃을게 없다~ 연장으로 사람 막쑤시는데, 솔직히 진정한 싸움꾼이라면 맨손 맨발로 1대1로 싸워야 되지 않겠어?조폭 두목들도 부하들 시키지 말고, 지가 직접 두목끼리 다이 다이 까고 이겨야 왕 대접 받지~그리고 연장 들면 초, 중, 고딩들도 사람 죽일수 있다~",1년 전
501,  정운봉,깡패도나름...,1년 전
502,  Sam,잘먹고 잘사네,1개월 전
503,  경빈,저 나이 먹고도 구치소 들락거림?,3년 전
504,  부정선거어쩔,이제 법을 재정해서 북으로 보내는걸 합헌을 해야 합니다.북한에서 마음데로 하라고....노비로 삼던지,3년 전
505,  멋진삶,방송이 문제다.이런 양아치들을 조폭이라는 말로 표현을 하니까 미성숙한  어린애들이 동경을 한다,2년 전
506,  정숙문,아직도 살아서  쌀을 축내고   공기를 오염시키고 있단  말이야???,1년 전
507,  홍기천,얌전히 살다 가시오.,1년 전
508,  Jenkuk Kim,조폭의 특징 말년에 욕쳐먹으면서 뒤진다  말년이 초라하다  이건머  세링게티에 사자들의 삶과 똑같네  젊어서 공격하고 막물어 죽이다 .말년에 하이에나에 좇밥이 되더만,4년 전
509,  억수티비(리얼다큐),쟤랑 결혼한 통역사는 뭐임????????????? 돈잘쓰고 이러니 조아께찌...ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ꼬시다..........,1년 전
510,  빛가프리오,양은이는  빵속에 있었을때가 대단했지   빵나오고부터  양아치로 전략된놈?  내가  니  대구교도소에서 출소할때 마중갔었는데..후회스럽다!,3년 전
511,  해피쥬,돈없으면 초라한거지,1년 전
512,  이현겸,양은이파는 양은냄비에 라면 끓여먹나요?,2년 전
513,  영화최,조폭  다  나뿐건 아님  착한놈도 있고  예의  바른놈도 있고  멋있는  놈도 있음  나뿐놈은  열에 하나 조양은  같은 놈도있음,2년 전(수정됨)
514,  김형용,ㅉㅉ반민족 친일 부역자들도 떵떵거리며 살고 자국민을 수천명 학살한 군발이들도 떵떵거리며 살고있는데ᆢ양아치들의 말노는 썰렁하고만,2년 전
515,  안용선,당신들이 교도소 내부 사정을 어떻게 알고 그 따위로 함부로 말을 해 뱉노...,3년 전
516,  amaru 2pac,쓰레기는 쓰레기지...쯧쯧결국 분리수거도 안되는 음식쓰레기 국물,2년 전
517,  구독 안하면꿈에 나타남,그래도 주먹이면 양아치보단 낭만이지~~ㅈ같으면 한다이 떠보면되고..지금은 주먹으로하다가 안되면 바로 연장들껄~~첨부터 연장전으로하던가 누군주먹인데 누군 연장이면 양아치지,2년 전
518,  soulash,언제쩍 조폭이고. 3년? 장난치나ㅋ 씨를 뽑아야지.,2년 전
519,  yuwon kim,양아치,4년 전
520,  꽃中年,"초라하긴 뿔  ~한 번   조양은 은  영원한   조양은  이고  ,   한번   깡패는영원히깡패 고  ......",1일 전
521,  인류 vs 중공,국내최초로 칼로사람죽이는 풍토 만들었다던데,9개월 전
522,  리주,44억에 3년6월 이니 할만하지,9개월 전
523,  서병준,돈없어면 다 거지다,1년 전
524,  knownage알나이,구독취소가 안되네 ㅋ,3년 전
525,  wood mike,양아치,2년 전
526,  신준하,조폭(祖暴)들 의(義)롭다. 의(義)로워 조폭(祖暴)들 의(義)인이다.,2년 전(수정됨)
527,  미스진선미,호남땅에   민주노총도  조폭도  많은곳이죠,3개월 전
528,  길경훈,죶밥쓰레기보스,1년 전
529,  pot pot,김복준이사람 뻥잘치네조양은 싸이보이호텔에서  연장 사용하지 않았는데,1년 전
530,  니화,너도 유툽 방송이나 해라 후원 쏟아진다,3년 전
531,  불타는휘발유,마지막건달은  서산안상민,1년 전
532,  hyun woo,기사도 제목 어그로 쩌네 .. 하여간,1년 전
533,  권영부,영원히 추방하자,3개월 전
534,  w CARRY,양아치,4년 전
535,  Bambi,양아치,4년 전
536,  비공개,여기서도 호남 조양은이가 ㄷㄷ,2년 전
537,  랑꼬,이제 대가를 받아야지?조양은,1년 전
538,  박신주,주먹의 만로,4주 전
539,  김민자,조씨들은 나쁜행동 다해  조두순 조주빈 조세영 대포적인 조씨,1년 전
540,  캐터피 등짝보는 피카츄,찌질한 조폭영화보고 조폭에 대한 환상가지지마라~!,2년 전
541,  CR Kim,나이들어 할짓이 아니다. 세월이 많아 바뀌었어.  그러고 밥먹고 못살아,2년 전
542,  약속의 무,아닌데? 이정재가 다구리 연장 시대를 열었는데,1년 전
543,  白头山,40억 3년,1년 전
544,  선남Devil man,어 뭐야 양은이? 한진아니내,3년 전
545,  우용운,바르게 사세요,10개월 전
546,  임을분,윤총장님 길이 아니면 가지을  가지마셔요 짐승만도 못한연  우리집에 개만도못한연,2년 전
547,  서재기,국민에당대가리삼하다해처모여한다,2년 전
548,  까마구,조폭보다 더 더럽고 치사한 넘들이 정치인 이란 것도 이바구 좀 하시구려. ㅋㅋㅋ,1년 전
549,  인생무상~,"초범 전과 1범은 징역5년 2범은 징역10년! 3범은 즉시사형!살인죄, 살인교사죄는 초범도 사형!판사들도 판결 엿같이하면 종신형!국회의원 및 나랏일하는 모든 공무원 대통령포함 불법비리 발견시 즉시 사형!",2년 전
550,  송임호,비스한.인물.있지요.,1년 전
551,  내무덤에침을뱉어라,양은이가 두목일까 ?양은이를 깜빵에 처넣은 인간이 두목일까?양은이는 바지아니겟냐,9개월 전
552,  쏘세지귀신윤돼길라,조폭들 미인이부러웠나 물소영감아ㅋ,2년 전
553,  막가파,쥐새기처럼 숨어서까지말고 직접찾아가서 얘기하세요..진짜남자라면,3년 전
554,  belly에코,이상황에서  조폭부인  미인이라는소리가  하고싶은지~~주책이군요,2년 전
555,  조국문재,양아치,2년 전
556,  Namseslll leeds,조 양은 범죄자 사형 시키는 필리핀 수출 요먕,2년 전(수정됨)
557,  진환 김,좋아요,9개월 전
558,  누구인가,이거 무죄나왔던데,1년 전
559,  파천황파천황,조폭 두목임이 확실하면 무조건 영구격리....사형이나 무한 강제노역으로 가자. ㅅㅂ....ㅠ토론자들 조폭 띄우냐?,3년 전(수정됨)
560,  M리모콘세상,YTL 니들도 조심해진실보도 하란말이다말년에 고상하게 살고싶으면공정보도 하란말이다 에라이,2년 전
561,  중독자민턴,고추 존나 아프겠누ㅠㅠ,2년 전
562,  hana Lee,2019.05월 출소예정,3년 전
563,  mira mira,와이티엔은 무슨 패널 말하는 꼬라지가 옆집 목소리큰 아저씨들,3년 전
564,  Park Jonghee,정치  두목들의 정치 공작. 조폭은 희생양.,1년 전
565,  신주환,나이처먹고조폭행세라ᆢ창피하지도않냐조폭이면꼭짜고덤비는비는게특기잖아,1년 전
566,  7Mag GT3,댓글 양아치들 싹쓸이도 좀 했으면요 ㅎㅎ,1년 전
567,  오야마마스타츠,살만큼 살았네,3년 전
568,  영옥현정박연잉군의일이일육영칠구오구,글쓴이는 05로 조양은과  다릅니다.,4개월 전(수정됨)
569,  안창호,참 조폭이 양아치,8개월 전
570,  박루시아,사기꾼들  조폭들의말로  ㅡ,2년 전
571,  김윤,이렁게 조폭이라구ㅡ양아치도 앙양아치지,3년 전
572,  연타발,저딴놈을 초라하다??,2년 전
573,  제임스양,조폭 부인이 미인이더라 ㅋㅋ 먼 쓸데없는 말을  ㅋ,2년 전
574,  파크냐아수투아루,칼질 양아치,2년 전
575,  정철환,사나이네.,9개월 전
576,  Seo.,조씨에 참 이상한 사람이 많다..,11개월 전
577,  임철우,조폭도  돈이 있어야  알아준다   얼마나  돈이 없으면  저랬을까   그런정신으로  좋은데 썼더라면  아쉬움,2년 전
578,  MC MEDIA,이런걸 왜 다루냐. 애들 배운다.,2년 전
579,  JAMES,깡패는 마지막테크트리는 거의다 목사쪽이네,1년 전
580,  박상미,저런것들이 교회들어가 목사질한다는게 ㆍ서세원 ㆍ이근안ㆍ김신조,2년 전
581,  김서진,무슨 주먹이냐 재들때부터 사시미질 난립했지,2년 전
582,  문복희,늙지말고 살자? ,11개월 전(수정됨)
583,  Jason Choi,아나운서  할아버지 존나 짜증나네,3년 전
584,  현민,너희집이 양념바다가 되어도 좋다 이거지?,2년 전
585,  ME SOHW,조폭 미화시키는 영화들 싫은 이유,8개월 전
586,  하파,양은아 넌 사형이야,1년 전
587,  마크헌트,이시대의 최대양아치라던데,2년 전
588,  최명희,깜작이야신율이네볼거 없겠다,7개월 전
589,  구미 윤0호,성범죄 정치권 보다 훌륭 하다고 본다.,2년 전
590,  kjm,남자들의 로망인가  ㅋㄲㅋㅋ 화려한,8개월 전
591,  김루살,나 이거 들어봤어 어드벤쳐 타임에나오는 레몬남작인가 뭔가하는 걔맞지?,3년 전
592,  마술피리,요즘 유트브로 세탁 시작하셨던데 종교 목사가 거기 써먹기 좋지요 누구 마약출신이 년 9천을 방송으로 받아먹은거 보면 그런 것들보다 훨씬 통은 크다고 봐야죠,3개월 전
593,  Myon Chong,죄을아나 현제에너에삶리죄 죄 죄 줏으며은 지옥,1년 전
594,  초 저공비행,쌩양아치'',3년 전
595,  James Kodome,조씨,3년 전
596,  황인창,노년은  누구나마찬가지 입니다.오늘현재 이건희가  조양은보다  나을까요  ?,3년 전
597,  린대장,저 사람 싸움잘함???,1년 전
598,  워터멜론,;;;;;;;;;;;;;뉴스수준이;;;;;;;;;;-_-,2년 전
599,  서강석,교도소를 북에 관리대행?,2년 전
600,  정경희,이기 뭡니까,2년 전
601,  X-AE A12,마이낑 ㅡㅡ,1년 전
602,  H S Y,아나운서 말 좀 끈지 말아라 짜증 나네,2년 전
603,  최윤만,째째하네,3년 전
604,  LUCAS BAE,양아치지 뭐,2년 전
605,  무소유,쓰레기는  쓰레기야,3년 전
606,  9000 awoori,공갈 치고있네 신상사 파를 와해 시켰다고 연로들 회의에 들이 닥친. 것은 사실이지만 회칼로 위협으로 회의를 방해했지 외해 시켰다는 당신의 먄은 공갈이네요. 그 후. 명동시쿠들이 조양은을 작업에 들어가자 조양은은  지방으로 도망다녔지요.,1년 전
607,  깽다구,솔직히 여기서 한국 조폭 무서워하는 사람 있음????아마 없을걸 ㅋㅋㅋㅋㅋ 이유가 뭐냐고? 뭐긴뭐야 안 무서운데 이유가 있나?ㅋㅋㅋㅋㅋ,3년 전
608,  외밤톨이,생뚱맞게 조폭들 여자들 얘기만 하는건 무슨 경우야? 참나!,3년 전
609,  킴태식,ㅋㅈㄴ 가고 소고기먹고 잘 지내시는데요,1년 전
610,  김정구,선교사  조양은이라고하더만,2년 전
611,  박영근,요감니  목두번   저격  수,1년 전
612,  김철수,파는파양파가,1년 전
613,  통나무,초라는무슨초라야빈대들이지ㅡ사형이답,2년 전
614,  한구옥,무엇들 하세요?이게 모두 뭔소리?내게 악풀나누신분들 자신을 돌아보시고 이말씀들이 본인에게 정녕돌아갈줄 몰라서 하시는건지요.,2년 전
615,  거여전사,강간 폭행 일삼는 암말기같은 기생충 시절이지 ᆢ 화려했던건 아니다 ᆢ,2년 전
616,  김산꼴,적폐들아!  적폐들의말로를 보고있느냐?너희들의한짓이 조폭들과 뭐가다르니?개과천선하여 너희들의죄를  달개받을준비들하거라,2년 전
617,  8O9M6S5 YB,배고픔에지쳐서 객사나해라,2년 전
618,  키다리아저씨,70대이상 넘어가면 깝치다가 젊은넘들한테 오지게 쳐 맞다가 말년에 노숙자로 늙어죽을 듯,2년 전
619,  칵테일마스터,이런걸 뉴스로보내냐,1년 전
620,  의심쟁이,3천년 추가,10개월 전
621,  윤가빈,조씨들이 문제가 많구나,2년 전
622,  Taewon Hwang,요새는 유튜브 하고 살던데,3개월 전
623,  수국,쓰래기는 쓰래기다.,1년 전
624,  나순득,매력보다 강재로  끌고가서  마누라삼지요   눈독드리면  포기하지   않으니까요  이휘향  팔자처럼,2년 전
625,  비바람찬이슬,저축은행이 미쳤구나?  양은이한테 돈을 빌려주게ㅉㅉㅉ,3년 전
626,  CHANG LEE,독거노총각 형님 아니십니까?,9개월 전
627,  Lucas AJ,양은이 때문에 전라도 조폭은 양아치라고 했고 그때 부터 가오만 잡는 애들은 아치라고 하지... 룰은 있었다 양은아.ㅡㅡ,1년 전
628,  채수찬,동네 앙아치,3년 전
629,  YOU홍콩서버 닉네임 DMZOPEN2050 월탱,양아치네 성기를 담배불로,3년 전
630,  jp kim,경찰이나 검찰이나 조폭 엄청 미화하네..75년 부터 낭만이 없어지고..다구리는 않한다?? 욕하면 고소당할까봐 안할란다..ㅎㅎ내가 아는 최고의 욕을 하고 있는중이라고 알면되..ㅍㅍ,2년 전
631,  영옥현정박연잉군의일이일육영칠구오구,글쓴이와 다릅니다.,4개월 전
632,  이돈복,화무는  십일홍 이요달도차면기운다  !  폭력이나  남에게피혜와 불안감을  조성하는캉폐  건달들  !   이시대의좀벌레들의불행한 사의찬미  가아닙니까   !,2년 전
633,  11장로,안녕하십니꽈~~~~아   조양은냄비 입니다~,11개월 전
634,  서병수,인천 이강민 폭력계 형사 가 체포했음. 해병대 동기생임,4년 전
635,  전장군,오월동주 아닙니까,7개월 전
636,  정우성,이제 유튜버던데 ㅋㅋㅋㅋㅋㅌㅌ,5개월 전
637,  바람,조폭깜도 안된다. 회칼이나 들고 설치는 양아치다.,2년 전
638,  Trip,서있는아저씨.목이없어,3년 전(수정됨)
639,  DKYJSY kim,양은냄비 주제에,1년 전
640,  한가위,기독교 방송 나오던데요 ㅋㅋ,2년 전(수정됨)
641,  좋은마음,양아치중 악질 양아치,3년 전
642,  진진진,언젠걸 처올리냐,2년 전
643,  역적들역적들,"정정,당당하게,  주먹,으로만, 승부를, 겨루워서,  보스가,되어야,-  인정해, 줄수, 있는것이지 !   회칼로, 찔러서, 이긴것은,  보스,자격이, 없다, (조양은) 비겁한,  놈이지 ! ㅡ",3년 전(수정됨)
644,  김용하,조폭두목이나 영웅호걸이나 늙으면 초라한 인생무상이 된다 늙기전에 좋은일 하고세상을 떠납시다 ~~에휴,3년 전
645,  돔뱅이,내가 가서 담굴라니까,3년 전
646,  전승자,여기도 팔랭이들이많네^~,3년 전
647,  릴라드,허..,2년 전
648,  임마누엘 🌞밝을 경🌞밝을 현,정명석 교주 아냐?도플갱어음란하기 그지 없게 생겼어,3년 전
649,  파도부서지는,그냥 양아치,2년 전
650,  니주가리송판,간심없다,2년 전
651,  전전용철,꽃추늘담배불로,3년 전
652,  박정남,조폭한명  더있씀  윤서방파,2년 전
653,  FSTIAL RA,징하다 광고,2년 전
654,  최균석,아직도살아있남?명줄기네,1년 전
655,  박헌숙,방송할께 그리없나요,2년 전
656,  관심법,태춘 용팔이보다는 양은이 형 이 낫죠?,5개월 전
657,  spegal,야쿠자 보스라면 시노다겐이치검색해봐 이새끼가 진짜 일본조직의 우두머리 야마구치구미 보스다 조양은 하고 사이즈가 틀리지 카리스마도 있고 이런놈들을조폭두목이라고 한다 알겠냐,4년 전
658,  박국,조폭이든 학교일진이든 성인이되어서도 자기들만의색깔이 있다고 생각합니다 어떻게살아가든지 비아냥 거리지는맙시다,3년 전
659,  티모언니,강호동하고 싸우면 질거같은데,2년 전
660,  اذا اردت السلام استعد للحرب,늙으면 다 똑같지,1년 전
661,  시드증식,조폭 미화 찬양하는 나라라서 힘들어..,3개월 전
662,  허정열허정열,지금보면 때릴수 잇겟다,3년 전
663,  김도식,뉴스에서 뭐하러 이런 ㅆㄹㄱ얘길 왜? 전하는지ㅡ,2년 전
664,  티모언니,이만기하고 싸우면 질거같은게,2년 전
665,  폐차맨TV,조양은,1년 전
666,  꽐라죽이기,그냥  양아치 ㅋ,1년 전
667,  9000 awoori,그리고 이양반아 살아있는 진짜 전설은 신상사파야 알간 !  그런 입으로 출연로 벌어 먹을려구. ㅋ ㅋㅋ. 에라이---,1년 전
668,  김봉수,조폭울 미화 하는건가?,2년 전
669,  jangho kim,구글 코리아 머하노 알고리즘 개판일세..,2년 전
670,  승리승리,양 아 취 네,4년 전
671,  po roro,영화들 조폭 미화 그만해라,2년 전
672,  해모수tv.,조폭? 양아치.,2년 전
673,  돔뱅이,조양은이 왜 나쁜데,3년 전
674,  okay 👌,악의 끝은 항상 이래 왔는데요?문정부의 끝은 어떨고 같오?,2년 전
675,  O,"BTS 팬 ""또 일본에 패배했다"" 일본 게임의 BGM이 그래미상을 획득닌텐도의 게임 '별의 커비 슈퍼 디럭스'의 BGM '메타나이트의 역습'이 그래미상을 수상했다.",7개월 전
676,  에에헤야디야,산에 호랑이도 늙으면 끝이야오죽 사람  더하겠나,4개월 전
677,  아 름 이아 돌이,곱게 살아봐라 양은아ㆍ,11개월 전
678,  박가천,사 필 귀 정!!!@@@~~~..떠나시길~~~@,2년 전
679,  쓰까,야 아직 살아있나,2년 전
680,  초심.,이딴게 무슨 언론이라고,3년 전
681,  N D,김심야냐?,1년 전
682,  스마일,뭐 다 사기꾼아니가ㅋ너덜 너덜한 한국,1년 전
683,  Alex Knoxx,저 아저씨 머리 엄청크네,3년 전
684,  그냥저냥,조폭이  화려하냐 한심하다 이런방송 수준하구,2년 전(수정됨)
685,  김명국,흐흐흐 너 그럴지 몰랐니?,2년 전
686,  오자서,성은양  이름은 아치,2년 전
687,  신종만,김복중 믿을껄 믿어야지 차라리 개작두를 믿지,3년 전
688,  임일호,양아치,1년 전
689,  아낙,졸폭 꺼져,2년 전
690,  BnW 발레.무용.통증,광고!!! 쫌!! 짜증.....,1년 전
691,  m,이런걸 왜 방송을 할까?,2년 전
692,  jangho kim,신율 머냐....  ㅡㅡ,2년 전
693,  이기현,사람은 변하지않는구나  선인은 신하게  악인은악하게,2년 전
694,  박승빈,김태촌인가하는거하고너거들이친하데,2년 전
695,  달달구리,뉴스 수준,2년 전
696,  정근도,조양은 가짜 선불금 계약서를 담보대출 받았다고요김복준 ᆢ 동두천 경찰서 출신이다1975년 조폭들이 잠들다,1년 전
697,  똥장군,기독교먕아치파 전광훈이 빠졌네요,2년 전
698,  chon sig w,조양은  씨에지나간  세월에   지은   죄를논하지   마세요  .  본인 및  가족이   속상해합니다 .,1년 전
699,  티모언니,추성훈하고싸우면 질거같은데,2년 전
700,  A res,남자처럼 생겼는데;;  조폭 주름 잡던 사람이 여두목 ?? 조양 ??,3년 전
701,  JJ89,뭐 듣보잡 영화 구만,2년 전
702,  소울,패널 말할때 좀 끼어들지마라.사회자야,4년 전
703,  파워고릴라,사깃꾼에 항문좋이하는  호모사피,2년 전
704,  인중에빵꾸,나왔겠네,3년 전
705,  smartzerone01,라도가 라도했네,1년 전
706,  박세로가로이셰프,김두한의 뒤를 이은 .. 그러더니..  양씨가 됐네. 목사한다드니..어찌 저리..,2년 전
707,  이광옥,저는 고 박정희 대통령 님 께서 근혜 님과 인연을 맺어준 사람으로서 우리 서로는 대선후에 결혼을 하기로언약이 되여 있었 는되 어뜻게  여론 재판을 하여 감옥에 보냄니까 저로서는 도저희 이해를 할수가 었습니다그리하여 국 정원 돈을 쓰셨다고 하는되 그 돈은 주로 정치 하는데 쓰는 돈이지 않습니까 대통령께서 정치 하는 되 돈을 써지 않았습니까 그게 어떦에 죄가 됨니까  // 박근혜 대통령 께서 출 소하시민 우리는 결혼 을 하여 상고 심에서 무죄를 선고받아 현 정부가 물러가고 다시 남은 임기를 박 근혜 대통령님께 수행 하도록 하여야 겠습니다,3년 전
708,  장성민🎗,깡패도 젊고 힘있을때나 하지 쭈구리되면 거지꼴 뻔함~그리고 깡패가 멋지다고 동경하는 어린아이들아 아서라 나중에 저꼬라지된다.깡패들은 흉기없음 못싸우는 겁쟁이들영화에서 멋진 격투씬? ㅋㅋ  거의구라다,3년 전
709,  Myon Chong,조양은 이승에서의 죄아직도 만은죄을어찌할고죄 죄 죽으며는 지옥 지옥 이승에죄와 저승에죄,1년 전
710,  황대길,"법조폭이 출마했는데 출소하면 대통령출마한번 생각해보시길 ,",1년 전
711,  개냥이,조양은 이명박 박근혜 홍준표 신혜식 등등한 방에 넣어줘라...ㅋㅋ,3년 전
712,  하얼빈哈尔滨,목  ~~,2년 전
713,  김준성,ㅋ,2년 전
714,  고뽀시래기,휘둘리지마라.대한민국. 왜.김정남살아있다해라.ㅡㅡ,2년 전
715,  실타래,양아치 이지! 조폭은  무슨?,2년 전
716,  아구아르디엔떼,소실적 강남룸 알바 했었는데 사장이 서방파 넘버3더라..,2년 전
717,  Terry Raynor,화려함은 개뿔.....,4년 전
718,  유미령,"옛날기사를  왜올려,외국에서 선교사활동하는데. 엉터리기사네.",2년 전
719,  으으라차,너저심해ㅡㅡ,1년 전
720,  청개구락지,김복준 저 사람 너무싫다.,2년 전
721,  효동 이,늙어도 곱게 늙어야,1년 전
722,  효동 이,시청자들 시간 낭비하게 하지 말고. 방송 똑바로 해라.,1년 전(수정됨)
723,  이재희,조폭이란건 우루루 몰려다니며  누구밑의 쫄따구라는건데 그게 그리멋지냐  찌질한거지   요즘세상에 그딴것들 무서워할사람 누가있냐  참.한심,2년 전
724,  은은곡발라드,야 니들  이것도  뉴스거리냐ᆢ한심하다,2년 전
725,  SunShine,회칼 어쩌구 참 이런걸 왜올렸어  올리지마요,3년 전
726,  ig h,이거시 뉴우스냐?,2년 전
727,  카드놀이용길,안뇽하세요,2년 전
728,  이환,이런놈 관심없다,3년 전
729,  임철우,이나라는 전두환장군같은 분이  다시  대통령 나와야 한다,3년 전
730,  m.r. kim,별사람다있네,1년 전
731,  인달인,조양은이 힘있고잘나갈때  그렇게좀 말하지지금 힘떨어지고   말빨없을때  꼭 이렇게얘기해야되겠니  이기회주의자들아,2년 전
732,  낭윤우술,이동영상 그만좀내리세요,3년 전
733,  강명선,ㆍ,2년 전
734,  선택적 죽음,조양은도 전라도였네;;,4년 전
735,  고뽀시래기,푸핰,2년 전
736,  김영권,I am Korean. Type  ^^와이솔 라이팅^^  on YouTube.  :),2년 전
737,  박영근,오줌 요강에 목 따불어  ㄱ   귄홍 조  요이름,1년 전
738,  쉰들러,ㆍ,1년 전
739,  윤용수,????,3년 전
740,  물병자리,놀고들 있네 ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ,4개월 전
741,  Dongwook Lee,범죄자 이야기는 왜 합니까? 할게 그리 없습니까?,4년 전
742,  금산금산,더러워,3개월 전
