,아이디,댓글 내용,댓글 시간
74,  Kyung Yi,그자리에서 입벌리는 사람들은 욕할 자격이 있나요???,3년 전
75,  신율담,조직싸움에서 사시미칼을 처음 썼다던 양은이...  본인은 자기가 처음 아니라고 하죠ㅋㅋ..,2년 전
76,  Alice jack,판사출신이라는 사람이 하는 소리가 진짜 가관이다ㅋㅋㅋ,6년 전
77,  구자학,양아치  건달  무기  사형  식켜야 합니다,4년 전
78,  안녕,교도소안에서도....편하게 지낸다는데...개인교도관을 붙여주면 뭐하나 그 교도관도...솔직히 할수있는게없는데,3년 전
79,  박정훈,에라이 쪽팔린다. 조폭이면 조폭답게 살아라! 양아치짓 하지말고...,6년 전
80,  salsa,사기나치고 빵을 들락거리는 인생엔 화려함은 없지,6년 전
81,  대성수석,수고하셨습니다,2년 전
82,  승호이승호,"돈200만원 안갚는다고 권총으로 위협ㅋㅋㅋㅋ 진짜 추잡스럽다, 2억도 아니고 200만원에 ㅋㅋㅋ",4년 전
83,  바람을맞아라,일본 야쿠자를 보면 우리나라 근대사에 범죄와의 전쟁은 정말이지 신의 한수였다고 본다,5년 전
84,  하트사랑님,잘못된길을 들어설때 바른길로 인도했으면 액션배우가 되었을것 아깝다.,2년 전
85,  tenpura,채권담보대출이 2002년도에 처음 유행 하던 수법인데....,3년 전
86,  Vibrato🍒,''그렇게 국민을 힘들게 하드니 ㅉ ㅉ 인과응보를 알어라!!''그대로 인생 종처라 ,2년 전
87,  jong sub jun,저런사람들보고 그냥 양아치 라고합니다,6년 전
88,  어떤날kys,스레기들은 웬만하면 사형시키고 깔끔하게 처리해라사회에 나와도 할게 뭐가있겠어 또 그짓거리지,3개월 전
89,  ᄒᄒ,"수사과장 출신이지만 경찰전체의 해석은 아닙니다,앞으로는 김박사로해요.",2년 전
90,  Mat Solomon,"한국 조폭들이 브라질에 원정갔다가, 브라질 경찰 특공대한테 기관총에 몰살당한거 좀 소개해 주세요. 브라질 주재, 한국 대사관도 창피하다고 쉬쉬하고 있더군요...",6년 전
91,  🇰🇷박진우,조양은 나이가  69세임 노년1950년생이면 2018년도 69세임 내년에 70살이다,4년 전(수정됨)
92,  이승덕,조폭은 건달이 아니다 약한 사람에게는 무자비하고 강한자에게는 꼬랑지 내리는 조폭들 이들은 겉과속이 딴빤이다 조폭두목 조양은 이런 자가 조폭두목이라니 양아치두목이다,5년 전
93,  이강산,"한번 깡패는 영원한 깡패,!약자를 괴롭히는 양아치!",2년 전
94,  이옥자,관종병없었고 묵묵하고 무겁게 음지에만있었다면 지금 전설이되었겠지,2년 전
95,  사이다,삼청교육대 다시 만들어서 조폭하고 살인자들만 넣어놓으면 딱일듯,2년 전
96,  바다,"본인한대로  처벌을 해야한다, 칼로 난도질을 햇으면 , 처벌도 같은식으로  칼로  난도질을 해서 주겨야한다,  남을 칼로난도질을 해서 죽여도 그에 응하는 처벌을 안하니 저런 흉칙하게 남을 해치고 겁주고   살아가는것이다,",2년 전
97,  이쁜이,저런 것들은 세상빛을 보게하면 안되는데 뭐하는 짓들이야,2년 전
98,  T,점마나 김태촌이는 들러리인데 아직도 얼굴마담이네 실세는 신상현 이강환인데 금마들은 잘먹고 잘살고 이래서 사람은 머리가 좋아야 돼,1년 전
99,  다궁,저렇게 해도 나보다 재산도 많고 인맥도 좋다는거 ㅡㅡ ;,4년 전
100,  Jason Ferris,사기치고 공갈협박   남한테 피해주는것들은 자손대대로 천억벌을받았으면좋겠다,2년 전
101,  박대승,100억 사기에 3년이면 이게 법이가 판사가 조폭 겁내는건가,2년 전
102,  MK B,힘은   노쇠하면   의미없다  존경받을  인생살라,1년 전
103,  jinbun amott,혼자무서워화장실도못간다는조폭들,6년 전
