,아이디,댓글 내용,댓글 시간
52,  @user-vs6pw9je1o,간호사분 그냥나오지않고 기사분 구해야겠다는 그용기 ...진짜 대단하세요...ㅠㅠ 렉카분도 그렇고 영웅입니다,1년 전
53,  @3245554,진짜 저 여성분은 멋있다!! 진짜로!! 솔직히 저 상황에서 누가 쉽게 저 안으러 들어갈수있을까?? 잘못하면 내가 죽을슈있는데.... 진짜 멋있고 칭찬이 아깝지 않다!!,4년 전
54,  @kangheelee5347,저 상황에서 끝까지 노력하시 분들 너무 대단합니다.,2년 전
55,  @iks9731,버스가 불탈때  충분히 도망갈 수 있었는데 도망가지 않고 다른 사람을 도와주므로서 많은 목숨을 구해주신 것을 감사드립니다. 참 존경스럽니다,3년 전
56,  @user-ij7ye2op5r,진짜 멋있다... 자기가 위험할수도있는데ㅜ.. 다행이네요 모두 무사하셔서,2년 전
57,  @user-sx4hy9vr1o,"버스가 저렇게 불타오르는데 뛰어들어 도우려하는 것도, 잘못하면 자신의 견인차도 불탈수있는데도 끝까지 도우는 것, 모두 한순간에 시행하기 어려운 일이에요. 더군다나 간호사분은 자신도 죽을지 모르는데 저런 일을  한다는 것, 정말 남을 위하는 간호사라고 생각해요. 이분 같은 분이 간호사라는 것에 다시 한 번 감사드립니다. 여러분들은 최고예요.",2년 전
58,  @user-td9rr4xd4h,렌터카 기사님 그리고 간호사분 그리고 불 진압하려고 하신 분 모두 영웅입니다!   이분들 꼭 나라에서 상 주길 바랍니다 버스 기사분 무사히 구조되서 다행이에요ㅠㅠㅠ,3년 전
59,  @user-pj6rs8mq4g,직업정신이투철하신 간호사님이네요불붙은 버스안에 겁없이 들어가시다니대단하시고 감동적입니다,4년 전
60,  @jinjin2954,간호자 여성분 진짜 너무 멋있어요 언제 불이 번지고 버스가 터질 수도 있는데 안에 들어가서 응급쳐치를 하신다는 행동이 너무 대단하고 주변에서 도움을 준 모든 사람들 다 존경,3년 전
61,  @user-ch1ml8sn3v,두분 다 정말 대단하시다 본인 목숨이 위험한 상황에서 남을 위한다는게 쉬운일이 아닌데...,2년 전
62,  @user-fx7hf2nt8r,싸우지 말고 다른 사람에게 도움을 줄 수 있는 것도 참 좋은 글을 보고 있어요,1년 전
63,  @user-tl6dx8ep6s,간호사분 영웅입니다.본인의 임무를거기서도 하셨군요함께하신 시민 여러분 당신들 힘이 한생명을구했어요.♡♡♡♡♡,1년 전
64,  @user-xs3yc2rl1m,렉카기사님과 간호사선생님 정말 고맙습니다. 현장에서 함께 도와주신분들도 감사합니다 ㅠ,1년 전
65,  @sko890,이 간호사분 너무 이쁘고 멋지다 이런 간호사분은 승진 좀시켜주셈,5년 전
