,아이디,댓글 내용,댓글 시간
57,  @_brisbaner4939,당최 알 수가 없네. 5년 전 시골의 외래종 어류 소탕작전이 왜 지금 내게 추천을 하는 것인지 ㅋㅋㅋㅋㅋㅋ,1년 전
58,  @kihoonkim9875,수입이 문제가 아니고 방사가 문제입니다. 방사를 못하게 하는것이 옳은게 아닌가 싶습니다. 방사는 허가받은 기관에서 행해야 하고 일반의 개개인은 방사를 하는것이 옳지 않다는걸 알려줘야할듯 싶습니다. 무엇이던 있어야 할 자리가 있는것이죠. 있어서는 안될곳에 있으면 해만 될뿐입니다.,4년 전
59,  @user-vv8jb7cn2k,이게 왜 갑자기 알고리즘에...?,1년 전
60,  @fpsfps3941,전 이런거 보면 대체 무슨 생각으로 했을까 라는 생각이 먼저 의문점이 드네요 .... 이유는 방사해서 무슨 짓을 할려고 했던 걸까 피해 가고 사람 다치게 만들려고 했나 등등 잡 생각들도 포함해서요 ....,6년 전
61,  @joon7517,이 영상은 잊을만하면 꼭 한번씩 알고리즘에 뜬단말이지,1년 전
62,  @user-wv1or6vq8v,5년전이네 ㄷㄷㄷ 알고리즘.. 당신은 대체,2년 전
63,  @youngp1081,와 비 많이와서 다른데 퍼졌을수도 있었겟다.. 다행,2년 전
64,  @user-zd5pv3be4s,무분별한 방사가 많은경재손실,4년 전
65,  @user-lu4fn5ft8n,저런걸 국내에 반입시키는데 규제상황으로 만들지 않은게 더 이상한데. 이번에 제발 개편해서 이런일이 없었음 좋겠다.,5개월 전
66,  @yoon445,피라냐가 그냥 물고기도 아니고 왜 법으로 막아놓지를 않는지 순시리스럽네...,6년 전
67,  @bluestar2200,"붉은배 피라냐는 소심한 애들이라서 집단공격을 하는 애들인데 그나마 약한 애들임. 붉은색이 없는 브라질(소형)이나 페루의 블랙피라냐(대형)는 호전적이라서 집요하게 쫓아오고, 피라냐들 중에서도 최상위 포식자임. 저 붉은배 피라냐의 턱힘도 상어의 1.5배입니다 ㄷ",4개월 전
68,  @user-vq4ny2nv4m,저수지도 다문화되는게 보기 좋네요,5년 전
69,  @user-mv4hr4cb8x,이야 아마존에 있던게 어떻게 강원도까지 오냐 .ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1년 전
70,  @user-mq5do6tj7x,저런물고기들이 내 살들을 물어뜯는 생각을하니 내 살들이 아프다,4년 전
71,  @user-cw5km7zw1e,그동안 우리만 몰랐네수입하는 것과 생명을 방사하는 것과는 다른 것 같다수입을 금지하고 만약 수입을 했다면 관리책임을 물어 수입한 자를 엄벌을 내리길...일반 국민은 어떤 것은 방사가 되고 어떤 것은 방사가 안되는지 알수가 없다.적극적인 안내와 홍보도 있어야 할듯,5개월 전
72,  @user-yo2bw2ml8k,저런놈들 집에 아마존 모기때 풀어줘야 외래종 방사가 얼마나 무게감 있는 악행인지 알게될거임,5년 전
73,  @kimhigdon1489,"소떼를 몰고 아마죤강을 지나 가려면 먼저 한 소를보냄니다. 그러면 피랴냐는 소에게 달려 들어큰소가 2~3분안에 띁기어 먹는동안, 다른소떼들을 몰고 다른쪽으로 몰고 건너 갑니다. 어린아이 들이 물가에 건너다가 한번 띁기면 피냄새 맞고 피랴냐가 떼거지로 몰려와서 순식간에 띁겨 먹습나다. 강물에 잘못 빠지면, 아무리 헤엄쳐도 빠져 나올수 없읍니다. 이런 생선종류는 재미로 수입하면 절대로 안되는 ""식인생선""입니다.  무분별하고 무책임 한시민은,  물빼고 채운만큼의 손해를 보상해야 합니다. 사람이 안죽었으니 다행 입니다.",5개월 전
74,  @BaehrChaney,"처음에는 피라냐는 열대물고기라 한국의 겨울 못견딜꺼라는 말도있었는데, 과감하게 퇴치작전 펼친건 잘한거임. [ 늦장대응보다 과잉대응이 낫다 ]라는 격언이 있는데 그 말그대로 방치했다가 한국에 적응하고 뿌리내렸으면 진짜 좆될뻔함.ㄷㄷㄷ",6년 전
75,  @user-nh1vv8fv5g,진짜어떤인간들이 집어넣는거냐진짜애꿏은인력에예산에 구속시켜야된다외국인도넘쳐나는데 물고기까지 외래,2년 전(수정됨)
76,  @user-lz8db4pg3z,피라냐는 사람도 위험한데 ㄷㄷ,4년 전
77,  @kim2658,외래종 소탕작전 너무 고생하셨겠어요;;;;,11개월 전
78,  @homeageify,저따위로 관리할거면 수입막아라관리를 책임없이 하는데 키울 자유는 원해?양심이란게 있어라 키울고기가 저거밖에 없는것도 아니고 니들은 저런고기 키울 자격 자유 그딴거 없다,2년 전
79,  @user-qy3bd5vl2r,물뺄때 농부들 맘이 얼마나 착잡햇을까,6년 전
80,  @user-ll3et4xq2y,마지막 농부아재 목소리 좋다.,6년 전
81,  @user-ph6jb2mn1d,저걸 왜 저수지에다  버려? 그냥 죽이기엔 미안했고  그로인한 다른사람들이  받는피해는 나몰라라네저런것들은 벌금뿐  아니라  강력한 처벌이  필요한데 법이 참~~~,2년 전
82,  @haru_to_haru,마을주민 인터뷰 하신 분 굉장히 점잖으시네ㅋㅋㅋㅋㅋㅋㅋ 나같았으면 화 많이 났을텐데...,4년 전
83,  @user-fu9kz6qj7x,이런거보면 진짜선진국되긴 멀었단생각든다..법만큼은 정말 후진국중에 후진국인듯..,2년 전
84,  @user-kf7ed8ts7b,개념이 없는 행동...이글 보면 알아서  자숙 하길 바랍니다...블루길 배스까지는 참는다... 그리고 댓글 다신분 보면 이해가 않가는게 위 영상을 이해를 못하시는거 같아요.. 심각하고 문제가 생길수 있는거라 퇴치 한다는 내용임 .... 맛을 따지지는 맙시다.,6년 전
85,  @user-bx2iw1io8i,역시 알 수 없는 알고리즘...,1년 전(수정됨)
86,  @user-pu4dg4if3o,타임머신이란 바로 이런것..급 6년전으로 돌아옴.,1년 전
87,  @user-sz1vq1tz9f,어떤 벼락맞을 녀석이 저런 위험한 것을 풀어서 사회 해악을 끼치나요. 정말 암이 따로 있는드게 아닙니다,1년 전
88,  @user-vc8rh5er8v,몰래반입해서 저수지에 방생이랍시고한 무분별한 사람에게 법정최고 형의로 처벌하길 바랍니다.,2년 전
89,  @user-kf9yd8ie3e,진짜 얼마나 무지무식한 사람들이 국회에 출근을 하고 있는지 한심하기 이루 말할수가 없다.그게 뭐가 됬든 내다 버리면 안된다는거 정도는 아무리 무식해도 알텐데 그게 법 조항에 없다는게 이게 말이냐...,2년 전
90,  @jonghyunhong6942,"베스도 힘든데, 다른곳은 없었으면좋겠습니다!",6년 전
91,  @dbseods,기르다 감당안되니 방사했거나 진짜 맘먹고 재미로 푼거같음,2년 전
92,  @user-nw6wt1fy8r,피라냐를 방사하다니 제대로 미쳤네.,4년 전
93,  @neonstyle5886,반대로 생각하면 가뭄이라 그나마 물이 적은편이어서 빼고 잡을 생각을 했겠죠.....최악의 상황에서도 그나마 다행이네요.하루 빨리 처벌 규정이 신설되기를 바랍니다. 차라리 그냥 죽이지 왜 방생을......-_-;;;;;,5개월 전
94,  @user-tu3es2sm8n,수입되는 모든 종에 마이크로칩 의무화하고 없는 미신고 개체는 살처분 고액 벌금으로 강력히 처벌하고 신고포상제를 겸한다면 확실하겠죠,1개월 전
95,  @tv8731,무시무시한 놈이네요.정말이지 왜 저런짓을 해서토종 물고기를 씨를 말리고절대 적으로 저런일 있어서는안되겠습니다.잘보고 갑니다^^♡♡,2년 전
96,  @user-kx5bv7iq4n,생각이 없는거지 저런 물고기 저수지에 버리면 그냥 뒤질거라고 생각하고 방사한건가? 진짜 무식의 끝을 보여준다 누군진 몰라도 빨리 뒤졌으면,6년 전
97,  @llllllllll1787,아니 이 뉴스본지가 엊그제 같은데 벌써 6년전이라니..ㅋㅋㅋㅋㅋ,5개월 전
98,  @snowsaint,엘리게이터가아가 아는게 다행인줄 알아야됨 얘는 겨울에도 살아남는 애임,4년 전
99,  @conutco5370,어유 다들 고생많으셨습니다 피라니아 방생한 놈 응당 처벌받길 바랍니다,1년 전
100,  @user-lh7gk4uq9u,알수없는 유튜브 알고리즘은 오늘도 날 이곳으로 불렀다,3년 전
101,  @user-vp8xw9rd5i,"아이들, 노인들 일하다가 물리면 어쩌라고..방사하는 인간들... 살인죄로 넣어야한다",2년 전
102,  @user-qu7be8xp6i,동물 키우는것도 자격증 만들어야함 교육부터해서 처벌법까지 물고기뿐만 아니라 개나 고양이까지 인성교육 위주로 만들어라,6년 전
103,  @user-lo3mp7hr9x,주변cctv도 없어보이고 이식칩이 있을것도 아니라 사실상 범인을 잡을 방법은 없을듯.. 이 기회에 저수지 근처에 방범용 cctv설치도 좋을것 같다,5개월 전
104,  @user-un8gg1pr7v,알고리즘이 날여기로 이끌었다..,2년 전
105,  @jihyounlee8439,마무리되어 다행입니다ㆍ^,2년 전
106,  @user-cl4fe6er2r,피라냐의 이빨은 사람의 치아와비슷하기에 보완해서 이식하는 법이 생기진 않을까?,2년 전
107,  @user-hk3jp2od4x,피라니아...ㅎㄷㄷ,2년 전
108,  @user-rj3jh7yp9e,방생하는놈들은 모아다 저기 외국에다가 방생해버렸으면 좋겠다 그리고 영원히 귀국 못하게 막아버리는거지,2년 전
109,  @user-lz2mr7ho4u,알고리즘...그는 도대체...,1년 전
110,  @julie967,연구원이랑 아저씨 말투 왤캐 좋지ㅋㅋㅋㅋ,1년 전
111,  @user-ux7zx4nz9v,저기서 처음 발견한 사람은 진짜 소름끼쳤겠다. 책에서나 보던 유명한 식인물고기가 강원도 한가운데 저수지에서 발견됬으니ㅋㅋㅋㅋ,5개월 전
112,  @user-bp7wy4db5r,이래서 공무원이 무능하다는겨~️피라냐가 정력에 좋다고 소문내면 피라냐  씨가 마를 텐데~,6개월 전
113,  @waltersmith4239,수고들 하셨습니다,1년 전
114,  @user-qw3jn7bd7i,물부족한데 저거 어쩔거야~ 방생한놈 잡아다 쭝궈 저수지에 방생시켜라~,6년 전
115,  @user-pp8sr6ro5n,피라냐 육지에서 숨쉬는거 소름,5년 전
116,  @user-me9kc9wq7h,유튜브에 피라냐 검색해봐요..진짜 그렇게 잔인할수가 없어요..잔인중 최고..,4년 전
117,  @user-hy9tz7yi6z,저런사람들 진짜 문제입니다....왜 방생을,2년 전
118,  @user-vr9rx3yf6c,0:30 뾰족뾰족 거리는 건 익숙한데 애기처럼 이가 잘 돼있으니 무섭다...ㄷ 인면어 떠오름,1년 전
119,  @user-xd3fz6kq8t,와 저걸 방사 시키네..ㄷㄷ여윽시 인간이 젤 무쪄웡,2년 전
120,  @firechoi1501,도대채 어떤놈이 방사한거나?  알이라도 부화한거 아닌지...수입금지도 안된다는게 이해가 안되네...언놈인지 잡아다 족쳐라...,3년 전
121,  @user-iy5fg3pq3t,근데 열대지방에서 사는 피라냐가 한국 겨울에도 살수 있나?,3년 전
122,  @hyasgv3367,이사건이후로 피라니아 나테리는 수입금지 되었고 나머지 피라니아는 수입가능,4년 전
123,  @shlee3085,항상 조심합시다.,1년 전
124,  @user-tj8ll4rx6q,전국의 저수지물 다빼서베스도 좀  처리하십시다!~~~ㅠ,3년 전
125,  @user-et3vr4ky7n,저거 젇 돼 보라고 일부러 저런 걸 꺼야..   세상은 넓고 또라이는 많거덩,6년 전
126,  @edwardkim1652,새가 피라냐 알을 먹고 소화되지 않은 알들이 어디에나 뿌려짐… 한국에서 번식하는 건 막을 수 없음,5개월 전
127,  @gylee8651,"옛날 뉴스이긴 한데, 이거 풀어준 인간은 그 동네와 억하심정이 있었다고 봐야지...",2년 전
128,  @user-fp1wv3il4b,참진짜 우리나라가 왜이리 답답해지지 점점. 저걸 법으로 막을생각은 왜안해; 저걸 개개인 탓해본들 무슨의미가있나;; 사람은 원래 저런놈도 있고 아닌놈도 있는거지,5개월 전
129,  @user-dc5uw3hk3c,진짜 이건 그냥 못넘어가겠네,3년 전
130,  @user-nq3dh1nl6d,수입한사람들 다 처벌해야지,1년 전
131,  @daeillchung6216,매일 외래종예기 하면서 도대채 왜 외래종관련 법률을 강화 시키지 않는거냐?,5년 전
132,  @user-oy9bl5up6k,이게 벌써 5년전이네,2년 전
133,  @user-kg6cx8if1i,앞으로 이렇게 예산 소모 시키는 행동을 한 자에게 해당 액수만큼 추징하는 법을 제정해야 한다고 본다. 한 사람의 무책임한 행동으로 왜 쓰잘데기 없는 예산을 쓰게 만드는 거냐. 모든 분야에서 하기 힘들다면 그때그때 하나씩 추가하도록 하자.,6년 전
134,  @user-tg8rw3zb4w,근데 5년 전 뉴스인데 아직까지도 피라니아 수입 금지 안시켜 놓지는 않았겠지? 설마..,2년 전
135,  @user-rm6de5dc8s,알고리즘이 나를 여기로 인도했다,1년 전
136,  @user-yx1bu8fx6i,"이런 종을 저수지에 버린 그 자들을 징벌해야 한다....법도 규정도,ㅡㅡ엉터리....",5개월 전(수정됨)
137,  @user-li2xw5nm8n,저수지 들어간 사람 다 뒤지라고 방생하냐 뇌가 있으면 생각을 해야지 괜한사람 개고생 시키고 물낭비.돈낭비 에효... 한심하다,5년 전
138,  @user-pz7vc3vc1o,근대 재덜 겨울 절대 못버틸탠대 온수 어종이라 영하대면 그냥 즉사일텐데,1년 전
139,  @kimbssss,1:16 진석두 주민님... 말씀 참 잘 하시네요.,5개월 전
140,  @user-mv9le3dj5y,0:47 나 이부분 왤케 웃기지...ㅋㅋㅋ 이 저수지를 헤집어야했습니다 하고 뽬 줌아웃 하는게...ㅋㅋㅋㅋㅋ,1년 전
141,  @user-xx4uh9fg9w,"끔찍하다 ㄹㅇ,,",2년 전
142,  @user-vq6pu9rp3n,정말 생각없이 행동하냐괜히 사람들 힘들게하고 참 생각없다 ㅋ,5년 전
143,  @dusdnr97,아무생각없이 다봤는데 4년전꺼네..,3년 전
144,  @chadjung3874,피라냐가 그렇게 맛있다는데 ㄹㅇ 먹고싶다,3년 전
145,  @integrity7772,이게 무슨 일이야.저수지에 CCTV 설치 필요!!저수지 곳곳에서 사건사고도 많으니,5개월 전(수정됨)
146,  @user-cr4gi6zv9m,유튜브 알고리즘 이정도면 그냥 랜덤인듯,1년 전
147,  @user-zh8cy9dk2f,정말 짜증나는 일이군요잡아서 패야되는데..,1년 전
148,  @user-bf6gl2uz8t,CCTV 설치해서 고기 집어 넣는 자  잡아야 한다.,1년 전
149,  @user-nr9cv6wi9r,0:53 이거 편집 고급기술임패링이라고 진짜 어려운데 잘하네+ 오타수정,3년 전(수정됨)
150,  @user-yl8uw8bd6v,유튜브 알고리즘이 날 여기로 불렀어..,3년 전
151,  @user-mw7wt2pz2o,이게 벌써 4년이나 됐구나 ㄷ 저때가 초딩이였나 중딩이였나 그랬는데,2년 전
152,  @Hyuchan1002,낚시꾼들 등을 퇴치하기 위해서도 피라냐 같은 고기를 퓰어 놓는 것도 괜찮다고 봄. ㅋ,2년 전
153,  @user-qb1bo9ds8k,유튜브 알고리즘  참.어떻게 6년전 뉴스를 오늘 뉴스랑 나란히 보여주나..착각하기 딱 알맞게..그나저나 6년전이면...2016년이네.한일없이 세월만 줏어먹고...,5개월 전
154,  @user-ux5mp1rf4j,진짜큰일난이유가 뭔지앎? 저물 뺄때 밑에 수문열어서 뺐다고 들었음. 피라냐중에 빠져나간게 없다면,2년 전
155,  @runners3572,와ㅋㅋ피라니야를 방생?? 누구냐대체ㅋㅋㅋ,4년 전
156,  @user-pe3dp4cb2v,️ 피임의 중요성,1개월 전
157,  @hoyaspapa,불법 수입하는 인간들 자체를 처벌해야함,5개월 전
158,  @user-rz4hs5dz7o,파쿠:일명 인치어 남자의 그것을 견과류로착각해 현지인들 사이에는 그거브레이커로불린다 이빨이 사람과도 같아 인치어라고 불리기도 한다피라냐:면도날과도 같은 이빨을 지니고있다 물리기라도 하면 피보는건 기본이다황소를 뼈만남기고 전부 다먹어치운 전적이 있다,2년 전
159,  @user-hm4gv7fi1m,진짜 요즘 수입애완파충류나 어류들 그외 등등등 수입하는곳이 진짜 수없이 많고 여러 수입장사하는 유튜버들로 인해서 진입문턱이 현저하게 낮아짐..낮아진게 문제는 아니지만 그만큼 관리가 안된다는거임... 진짜 철저하게 관리감독 할 법안을 만드는게 좋지만저걸로 인해서 미친듯한 사회이슈가 될 사건이 터지지 않는 이상  불가능하다고 봐야지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,5개월 전
160,  @user-cm3iu5mf3c,민폐 오졌다 진짜..,4년 전
161,  @user-un4ng3hf6u,피라냐가 정력에 좋다고합니다굳이 저렇게 수고 안해도 되는데저 문구 현수막 걸면 끝남,3년 전
162,  @user-sl8yw3dx8b,나도 배스릴리즈는 하지만 다른저수지에 풀어버리는건 잘못이맞는거같음,5년 전
163,  @user-kh1gw5jg6o,와 근디 이런 위험종 무단방사는 진짜 개위험할 것 같은데,1년 전
164,  @goinchoe2505,20 만? 저수지 사서 키우면 ㄹㅇ 창조경제,5년 전
165,  @user-bo8or6wo6x,위험하다는걸 알고도 방사했을텐데 살인미수 아닌가요? 참내 법이 참 허술하기 짝이없네요.,6개월 전
166,  @crlim2409,집어넣은 놈을 잡아서..외국으로 보내버려..,5개월 전
167,  @RomietNJulio,피라냐와 싸워서 이겨보고 싶다,6년 전
168,  @user-qf3oi1sr9f,피라냐는 자신보다 큰 물체는 건들지 않고 먹지도 않아요. 안심하세요,2년 전
169,  @user-tu7vf2qu6g,제발 사람답게 행동하고 살자,5개월 전
170,  @user-cz6hn2ed7c,피라니아 맛있는데..,5년 전
171,  @sungminjung7494,... 농사하시는 분들 어떻게...ㅠㅠ,1년 전
172,  @user-wz3jg8xd1s,몰래갖다 방사한걸어떻게잡나 수입을 막아줘야지 뉴스꺼리만들려고 법을안만드나 토종물고기를살립시다,3년 전
173,  @duboosoon3228,"일산 호수공원뿐만 아니라 베스 잡는 낚시꾼들 전체를 싸잡아 욕할 수는 없지만, 대부분 루어낚시로 베스 잡는 사람들이베스를 방사해서 토종어류 생태계를 교란하는 주범들은 그야말로 개씝자슥이다.",6년 전
174,  @user-iu6st6nx1m,가물치나 삵이 이기지않을까요?,5개월 전
175,  @user-de3xz7sp8u,아마존은 열대인데 피라니아가 우리나라 겨울을지낼 수 있을까요?,2년 전
176,  @user-xe7qn4kh2z,희귀 열대어와 희귀동물을 기르는 놈들이 반성해야 한다,2년 전
177,  @user-wt6ho6kf5h,저거 관상용으로키우다가 버린거라던데 정신세계가 이상한듯,6년 전
