,title,view,upload_date
115,"['거북목', '교정운동', '할때', '많이들', '놓치는', '이', '근육']",4.2만회,8개월 전
116,"['맥타', '반드시', '효과를', '보는', '6가지', '거북목', '교정']",4만회,3년 전
117,"['일자목', '거북목', '운동전에', '꼭', '봐야하는', '영상', '일자목환자가', '가슴펴기', '등펴기하면', '안되는이유']",4만회,1년 전
118,"['얍얍', '거북목', '교정운동기구', ""'카이로넥'""]",3.8만회,5년 전
119,"['거북목,', '일자목', '교정기', '발란스코드', '넥팟']",3.6만회,6개월 전
120,"['일자목,', '거북목', '효과', '직빵', '운동']",3.6만회,3년 전
121,"['8회', '만에', '거북목', '개선', '굽어있던', '목', '펴주는', '운동효과', '나는', '몸신이다', '383', '회']",3.6만회,6개월 전
123,"['세상에서', '교정하기', '제일', '쉬운', '자세', 'TOP', '3‼️', '굽은등,', '거북목,', '라운드숄더']",3.5만회,3개월 전
124,"['수술', '없이', '거북목', '일자목', '교정', '스트레칭', '운동', '2가지']",3.4만회,1년 전
125,"['말없이', '무작정', '따라하는', '거북목', '교정', '운동', '프로그램', '1일차']",3.2만회,4년 전
126,"['거북목', '있는', '사람', '이', '스트레칭은', '절대로', '하지마세요.', 'ep.04', '거북목_목베개스트레칭']",3.1만회,11개월 전
127,"['거북목', '10초만', '이렇게', '해보세요', '턱을', '뒤로', '당기지', '마시구요']",3.1만회,2개월 전
128,"['🎉이벤트🎉', '거북목', '원인', '알고', '스트레칭과', '지압법', '알아보기', 'ep13.', '거북목', '스트레칭']",3만회,3주 전
129,"['거북목,', '일자목을', '목', '스트레칭', '하나로', '해결❓', '목좀', '그만', '괴롭히세요‼️']",3.1만회,7개월 전
130,"['내가', '거북목이라고', '셀프', '거북목', '테스트', 'shorts']",3.1만회,9개월 전
131,"['거북목,', '일자목', '엑스레이', '없이도', '구분하는', '법', '이파마스터', '장원석', '트레이너', '체형교정']",3만회,1년 전
132,"['거북목,', '거북등,', '골반교정', '주중루틴1.']",2.9만회,4년 전
133,"['나만', '알고싶은', '거북목,', '라운드숄더', '교정', '치트키', '운동', '공유해요']",2.9만회,1개월 전
134,"['거북목', '퇴치', '하루', '6분', '투자해서', '거북목', '예방하자', '핵심', '교정', '팁']",2.6만회,1년 전
135,"['거북목', '증후군', '건강플러스']",2.5만회,2년 전
136,"['거북목', '교정', '下편', '-', '그만', '찾으시고', '이거', '보세요😉']",2.4만회,3년 전
137,"['재활의학과', '교수가', '보증하는', '초간단', '거북목', '스트레칭법', 'feat.', '수건,', '테니스공', '재활의학과', '윤승현', '교수', '아주대병원TV']",2.3만회,1년 전
138,"['거때잡', 'a.k.a', '거북목때려잡기']",2.3만회,2년 전
139,"['최신판', '목이', '길어지고', '싶은', '사람', '드루와라', '거북목', '교정', '운동', '정파카']",2.2만회,1년 전
140,"['거북목을', '만드는', '날개뼈통증', '견갑거근', '&능형근', '어깨스트레칭으로', '교정하기', '온도니쌤']",2.2만회,3년 전
141,"['거북목', '굽은등', '백크', '재활', '가능', '불가능']",2.1만회,1년 전
142,"['프로게이머에게', '추나요법', '해드렸습니다', '어깨', '굽은', '등', '거북목', '교정', 'shorts']",2.1만회,3주 전
143,"['🐢힘들지', '않게', '거북목', '교정하는', '방법', 'shorts']",2만회,5개월 전
144,"['탑파이브', '거북목잡는', '메모리폼베개', '추천순위', '-', '목디스크', '경추베개', '포기하게', '되는이유', '등', '자세히']",1.9만회,1년 전
145,"['라운드숄더', '거북목', 'tip']",2.2만회,12일 전
146,"['효과적인', '거북목', '&', '라운드숄더', '스트레칭', '및', '교정운동', '5가지']",1.9만회,3년 전
147,"['😰', '검사모', '하다', '목', '아픈사람', '필독', '😰', '거북목에', '좋은', '스트레칭', '추천드려요', '-', '영순이', '따라', '홈트레이닝ㅣ검은사막', '모바일', 'BlackDesert', 'Mobileㅣ']",1.8만회,2년 전
148,"['SUB', '승모근', '보톡스', '끊게', '만들어준', '등운동,', '거북목', '일자목', '통증', '체형교정']",1.8만회,2년 전
149,"['06_거북목', '교정', '운동', '굽은등·뭉친', '승모근이', '고민이라면', '집중ㅣ야핏크루', '형주현']",1.8만회,3년 전
150,"['하루', '10분,', '집에서', '단기간에', ""'거북목'"", '교정하는', '꿀팁']",1.8만회,3년 전
151,['거북목'],1.8만회,2개월 전
152,"['목뼈', '휘는', ""'거북목"", ""증후군'"", '질환', '급증', 'YTN', 'Yes', 'Top', 'News']",1.8만회,6년 전
